match_id,stage,home_team,away_team,home_goals,away_goals,home_penalties,away_penalties,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_corners,away_corners,played_at,notes
400021440,group,CZE,RSA,1,1,,,,,,,,,,official_fifa_sync
400021441,group,KOR,CZE,2,1,,,,,,,,,,official_fifa_sync
400021442,group,MEX,KOR,1,0,,,,,,,,,,official_fifa_sync
400021443,group,MEX,RSA,2,0,,,,,,,,,,official_fifa_sync
400021444,group,CZE,MEX,0,3,,,,,,,,,,official_fifa_sync
400021445,group,RSA,KOR,1,0,,,,,,,,,,official_fifa_sync
400021446,group,SUI,BIH,4,1,,,,,,,,,,official_fifa_sync
400021447,group,QAT,SUI,1,1,,,,,,,,,,official_fifa_sync
400021448,group,BIH,QAT,3,1,,,,,,,,,,official_fifa_sync
400021449,group,CAN,BIH,1,1,,,,,,,,,,official_fifa_sync
400021450,group,CAN,QAT,6,0,,,,,,,,,,official_fifa_sync
400021451,group,SUI,CAN,2,1,,,,,,,,,,official_fifa_sync
400021452,group,MAR,HAI,4,2,,,,,,,,,,official_fifa_sync
400021453,group,HAI,SCO,0,1,,,,,,,,,,official_fifa_sync
400021454,group,SCO,MAR,0,1,,,,,,,,,,official_fifa_sync
400021455,group,SCO,BRA,0,3,,,,,,,,,,official_fifa_sync
400021456,group,BRA,MAR,1,1,,,,,,,,,,official_fifa_sync
400021457,group,BRA,HAI,3,0,,,,,,,,,,official_fifa_sync
400021458,group,USA,PAR,4,1,,,,,,,,,,official_fifa_sync
400021459,group,TUR,USA,3,2,,,,,,,,,,official_fifa_sync
400021460,group,TUR,PAR,0,1,,,,,,,,,,official_fifa_sync
400021461,group,PAR,AUS,0,0,,,,,,,,,,official_fifa_sync
400021462,group,USA,AUS,2,0,,,,,,,,,,official_fifa_sync
400021463,group,AUS,TUR,2,0,,,,,,,,,,official_fifa_sync
400021464,group,GER,CUW,7,1,,,,,,,,,,official_fifa_sync
400021465,group,ECU,CUW,0,0,,,,,,,,,,official_fifa_sync
400021466,group,ECU,GER,2,1,,,,,,,,,,official_fifa_sync
400021467,group,CIV,ECU,1,0,,,,,,,,,,official_fifa_sync
400021468,group,CUW,CIV,0,2,,,,,,,,,,official_fifa_sync
400021469,group,GER,CIV,2,1,,,,,,,,,,official_fifa_sync
400021470,group,NED,JPN,2,2,,,,,,,,,,official_fifa_sync
400021471,group,JPN,SWE,1,1,,,,,,,,,,official_fifa_sync
400021472,group,NED,SWE,5,1,,,,,,,,,,official_fifa_sync
400021473,group,TUN,NED,1,3,,,,,,,,,,official_fifa_sync
400021474,group,SWE,TUN,5,1,,,,,,,,,,official_fifa_sync
400021475,group,TUN,JPN,0,4,,,,,,,,,,official_fifa_sync
400021476,group,IRN,NZL,2,2,,,,,,,,,,official_fifa_sync
400021477,group,BEL,IRN,0,0,,,,,,,,,,official_fifa_sync
400021478,group,BEL,EGY,1,1,,,,,,,,,,official_fifa_sync
400021479,group,EGY,IRN,1,1,,,,,,,,,,official_fifa_sync
400021480,group,NZL,EGY,1,3,,,,,,,,,,official_fifa_sync
400021481,group,NZL,BEL,1,5,,,,,,,,,,official_fifa_sync
400021482,group,ESP,CPV,0,0,,,,,,,,,,official_fifa_sync
400021483,group,ESP,KSA,4,0,,,,,,,,,,official_fifa_sync
400021484,group,URU,ESP,0,1,,,,,,,,,,official_fifa_sync
400021485,group,CPV,KSA,0,0,,,,,,,,,,official_fifa_sync
400021486,group,KSA,URU,1,1,,,,,,,,,,official_fifa_sync
400021487,group,URU,CPV,2,2,,,,,,,,,,official_fifa_sync
400021488,group,IRQ,NOR,1,4,,,,,,,,,,official_fifa_sync
400021489,group,NOR,FRA,1,4,,,,,,,,,,official_fifa_sync
400021490,group,FRA,SEN,3,1,,,,,,,,,,official_fifa_sync
400021491,group,NOR,SEN,3,2,,,,,,,,,,official_fifa_sync
400021492,group,FRA,IRQ,3,0,,,,,,,,,,official_fifa_sync
400021493,group,SEN,IRQ,5,0,,,,,,,,,,official_fifa_sync
400021494,group,ARG,AUT,2,0,,,,,,,,,,official_fifa_sync
400021495,group,JOR,ARG,1,3,,,,,,,,,,official_fifa_sync
400021496,group,ARG,ALG,3,0,,,,,,,,,,official_fifa_sync
400021497,group,ALG,AUT,3,3,,,,,,,,,,official_fifa_sync
400021498,group,AUT,JOR,3,1,,,,,,,,,,official_fifa_sync
400021499,group,JOR,ALG,1,2,,,,,,,,,,official_fifa_sync
400021500,group,COD,UZB,3,1,,,,,,,,,,official_fifa_sync
400021501,group,COL,COD,1,0,,,,,,,,,,official_fifa_sync
400021502,group,POR,COD,1,1,,,,,,,,,,official_fifa_sync
400021503,group,POR,UZB,5,0,,,,,,,,,,official_fifa_sync
400021504,group,UZB,COL,1,3,,,,,,,,,,official_fifa_sync
400021505,group,COL,POR,0,0,,,,,,,,,,official_fifa_sync
400021506,group,ENG,GHA,0,0,,,,,,,,,,official_fifa_sync
400021507,group,ENG,CRO,4,2,,,,,,,,,,official_fifa_sync
400021508,group,PAN,ENG,0,2,,,,,,,,,,official_fifa_sync
400021509,group,CRO,GHA,2,1,,,,,,,,,,official_fifa_sync
400021510,group,GHA,PAN,1,0,,,,,,,,,,official_fifa_sync
400021511,group,PAN,CRO,0,1,,,,,,,,,,official_fifa_sync
400021512,round_of_32,ENG,COD,2,1,,,,,,,,,,official_fifa_sync
400021513,round_of_32,GER,PAR,1,1,3,4,,,,,,,,official_fifa_sync
400021514,round_of_32,CIV,NOR,1,2,,,,,,,,,,official_fifa_sync
400021515,round_of_32,AUS,EGY,1,1,2,4,,,,,,,,official_fifa_sync
400021516,round_of_32,BRA,JPN,2,1,,,,,,,,,,official_fifa_sync
400021517,round_of_32,COL,GHA,1,0,,,,,,,,,,official_fifa_sync
400021518,round_of_32,RSA,CAN,0,1,,,,,,,,,,official_fifa_sync
400021519,round_of_32,ESP,AUT,3,0,,,,,,,,,,official_fifa_sync
400021520,round_of_32,MEX,ECU,2,0,,,,,,,,,,official_fifa_sync
400021521,round_of_32,ARG,CPV,3,2,,,,,,,,,,official_fifa_sync
400021522,round_of_32,NED,MAR,1,1,2,3,,,,,,,,official_fifa_sync
400021523,round_of_32,FRA,SWE,3,0,,,,,,,,,,official_fifa_sync
400021524,round_of_32,USA,BIH,2,0,,,,,,,,,,official_fifa_sync
400021525,round_of_32,BEL,SEN,3,2,,,,,,,,,,official_fifa_sync
400021526,round_of_32,POR,CRO,2,1,,,,,,,,,,official_fifa_sync
400021527,round_of_32,SUI,ALG,2,0,,,,,,,,,,official_fifa_sync
400021530,round_of_16,CAN,MAR,0,3,,,,,,,,,,official_fifa_sync
400021533,round_of_16,PAR,FRA,0,1,,,,,,,,,,official_fifa_sync
