team_code,team_name,group,confederation,fifa_rank,seed_rating
CZE,Czechia,A,,,1663.6
KOR,Korea Republic,A,,,1793.6
MEX,Mexico,A,,,1855.4
RSA,South Africa,A,,,1619.6
BIH,Bosnia and Herzegovina,B,,,1584.7
CAN,Canada,B,,,1752.3
QAT,Qatar,B,,,1614.2
SUI,Switzerland,B,,,1789.2
BRA,Brazil,C,,,1894.5
HAI,Haiti,C,,,1617.5
MAR,Morocco,C,,,1835.7
SCO,Scotland,C,,,1712.1
AUS,Australia,D,,,1804.1
PAR,Paraguay,D,,,1731.0
TUR,Türkiye,D,,,1765.6
USA,USA,D,,,1756.4
CIV,Côte d'Ivoire,E,,,1741.4
CUW,Curaçao,E,,,1534.6
ECU,Ecuador,E,,,1807.0
GER,Germany,E,,,1862.5
JPN,Japan,F,,,1845.6
NED,Netherlands,F,,,1856.0
SWE,Sweden,F,,,1690.5
TUN,Tunisia,F,,,1655.8
BEL,Belgium,G,,,1813.7
EGY,Egypt,G,,,1734.2
IRN,IR Iran,G,,,1811.8
NZL,New Zealand,G,,,1678.1
CPV,Cabo Verde,H,,,1616.4
ESP,Spain,H,,,1976.6
KSA,Saudi Arabia,H,,,1661.8
URU,Uruguay,H,,,1816.5
FRA,France,I,,,1946.8
IRQ,Iraq,I,,,1686.4
NOR,Norway,I,,,1758.9
SEN,Senegal,I,,,1794.2
ALG,Algeria,J,,,1755.2
ARG,Argentina,J,,,1985.2
AUT,Austria,J,,,1739.9
JOR,Jordan,J,,,1667.1
COD,Congo DR,K,,,1669.1
COL,Colombia,K,,,1872.4
POR,Portugal,K,,,1872.9
UZB,Uzbekistan,K,,,1729.0
CRO,Croatia,L,,,1811.7
ENG,England,L,,,1906.0
GHA,Ghana,L,,,1614.1
PAN,Panama,L,,,1725.1
