team_code,team_name,group,confederation,fifa_rank,seed_rating
CZE,Czechia,A,,,1500.0
KOR,Korea Republic,A,,,1500.0
MEX,Mexico,A,,,1500.0
RSA,South Africa,A,,,1500.0
BIH,Bosnia and Herzegovina,B,,,1500.0
CAN,Canada,B,,,1500.0
QAT,Qatar,B,,,1500.0
SUI,Switzerland,B,,,1500.0
BRA,Brazil,C,,,1500.0
HAI,Haiti,C,,,1500.0
MAR,Morocco,C,,,1500.0
SCO,Scotland,C,,,1500.0
AUS,Australia,D,,,1500.0
PAR,Paraguay,D,,,1500.0
TUR,Türkiye,D,,,1500.0
USA,USA,D,,,1500.0
CIV,Côte d'Ivoire,E,,,1500.0
CUW,Curaçao,E,,,1500.0
ECU,Ecuador,E,,,1500.0
GER,Germany,E,,,1500.0
JPN,Japan,F,,,1500.0
NED,Netherlands,F,,,1500.0
SWE,Sweden,F,,,1500.0
TUN,Tunisia,F,,,1500.0
BEL,Belgium,G,,,1500.0
EGY,Egypt,G,,,1500.0
IRN,IR Iran,G,,,1500.0
NZL,New Zealand,G,,,1500.0
CPV,Cabo Verde,H,,,1500.0
ESP,Spain,H,,,1500.0
KSA,Saudi Arabia,H,,,1500.0
URU,Uruguay,H,,,1500.0
FRA,France,I,,,1500.0
IRQ,Iraq,I,,,1500.0
NOR,Norway,I,,,1500.0
SEN,Senegal,I,,,1500.0
ALG,Algeria,J,,,1500.0
ARG,Argentina,J,,,1500.0
AUT,Austria,J,,,1500.0
JOR,Jordan,J,,,1500.0
COD,Congo DR,K,,,1500.0
COL,Colombia,K,,,1500.0
POR,Portugal,K,,,1500.0
UZB,Uzbekistan,K,,,1500.0
CRO,Croatia,L,,,1500.0
ENG,England,L,,,1500.0
GHA,Ghana,L,,,1500.0
PAN,Panama,L,,,1500.0
